,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GBC__subsample,param_GBC__n_estimators,param_GBC__min_samples_split,param_GBC__min_samples_leaf,param_GBC__max_features,param_GBC__max_depth,param_GBC__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
25,2.8769624710083006,0.15831195377250973,0.018814849853515624,0.0035421200624568224,0.8,10,0.1,0.1,sqrt,5,0.01,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.01}",0.3106355382619974,0.3203631647211414,0.30694354315379624,0.3257624918883842,0.3153796236210253,0.30953926022063594,0.3192731992212849,0.3192731992212849,0.31148604802076574,0.33419857235561323,0.3172854640685929,0.007897680835345273,56
73,0.4912327527999878,0.01098433106073822,0.012921309471130371,0.002372733423190426,0.85,2,0.1,0.2,sqrt,3,0.05,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.3119325551232166,0.3164721141374838,0.28228423101881894,0.27514600908500975,0.28228423101881894,0.2654120700843608,0.29526281635301754,0.28423101881894874,0.2719013627514601,0.3036988968202466,0.2888625305211382,0.016399218831234925,57
55,0.7993050575256347,0.08881134143852581,0.02035064697265625,0.004615148280383663,0.8,2,0.1,0.2,sqrt,5,0.05,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.05}",0.3119325551232166,0.31971465629053175,0.27579493835171964,0.2744970798182998,0.2809863724853991,0.25697598961713175,0.27514600908500975,0.2829331602855289,0.27255029201817,0.3011031797534069,0.2851634232828414,0.018553658026274462,58
71,0.39290628433227537,0.016746622119752485,0.01280825138092041,0.001891341973253999,0.618,2,0.1,0.30000000000000004,log2,5,0.05,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.30000000000000004, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.05}",0.31971465629053175,0.3339818417639429,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.21806270626229365,0.054811765805275324,59
83,0.41535766124725343,0.016616652373501673,0.013259649276733398,0.0015339649126179823,0.85,2,0.1,0.4,log2,3,0.05,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.31971465629053175,0.33009079118028534,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.2176736012039279,0.053995211375085915,60
94,6.123612189292908,0.6954002529225142,0.019950175285339357,0.00426014229985413,1.0,50,0.1,0.5,sqrt,8,0.05,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.05}",0.26783398184176394,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.1984777516578838,0.02387717505505031,61
65,20.54707274436951,2.650268772676735,0.02285501956939697,0.0017759737622342028,1.0,200,0.1,0.5,log2,5,0.05,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.05}",0.26783398184176394,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.1984777516578838,0.02387717505505031,61
77,11.468410563468932,0.5100937864377948,0.018289351463317872,0.0016876260908255812,0.5,100,0.1,0.5,sqrt,8,0.5,"{'GBC__subsample': 0.5, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.5}",0.1880674448767834,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.19050109796138576,0.006025053245522964,63
14,0.7967934846878052,0.024439884039418033,0.018193745613098146,0.00560998105156154,0.5,4,0.1,0.1,log2,5,0.01,"{'GBC__subsample': 0.5, 'GBC__n_estimators': 4, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.01}",0.1880674448767834,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.19050109796138576,0.006025053245522964,63
31,11.474281573295594,0.5007994816519667,0.022373199462890625,0.009473635399150608,0.9,100,0.1,0.5,sqrt,5,0.1,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.1}",0.1880674448767834,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.19050109796138576,0.006025053245522964,63
80,0.34008288383483887,0.016233661677971647,0.015215635299682617,0.002288859034216587,0.9,2,0.1,0.5,log2,3,0.05,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'log2', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.1880674448767834,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.19050109796138576,0.006025053245522964,63
13,22.22589054107666,0.9213094564425119,0.02686915397644043,0.0041049809016808205,0.8,200,0.1,0.5,sqrt,8,0.1,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.5, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.1880674448767834,0.19001297016861218,0.1862426995457495,0.19338092147955874,0.1927319922128488,0.18170019467878,0.19208306294613886,0.1927319922128488,0.1836469824789098,0.2044127190136275,0.19050109796138576,0.006025053245522964,63
